"hotel_name";"food_type";"location";"rating";"delivery_time";"offer_percentage";"offer_upto"
"McDonald's";"Burgers, Beverages, Cafe, Desserts";"Kandivali East";"4.5 ";"27";"30";"75 "
"KFC";"Burgers, Biryani, American, Snacks, Fast Food";"Kandivali East";"4.2 ";"30";"40";"80 "
"Domino's Pizza";"Pizzas, Italian, Pastas, Desserts";"Thakur Village";"4.3 ";"25";"Not Available";"299 "
"Charcoal Eats - Biryani & Beyond";"Biryani, Kebabs, Hyderabadi, North Indian";"Malad Kan East";"4.3 ";"24";"50";"100 "
"Sandwizzaa";"Snacks, Fast Food, Beverages, Jain";"Kandivali East";"4.6 ";"22";"60";"120 "
"1441 Pizzeria";"Italian, Pizzas, Pastas";"Kandivali East";"3.8 ";"32";"60";"120 "
"Hangout Cakes & More";"Desserts, Bakery";"Borivali West";"4.4 ";"24";"60";"150 "
"Love & Cheesecake ";"Desserts";"Kandivali East";"4.5 ";"14";"0";"Not Available"
"Nothing But Chicken";"Salads, Biryani, Kebabs, Fast Food, Healthy Food";"Kandivali East";"4.5 ";"22";"20";"50 "
"Sweet Bengal";"Sweets, Indian, Snacks, Desserts";"Kandivali East";"4.6 ";"13";"20";"50 "
"Atta Girl";"South Indian";"Malad West";"4.7 ";"27";"0";"Not Available"
"NIC Ice Creams";"Ice Cream, Desserts";"Kandivali East";"4.7 ";"17";"Not Available";"149 "
"Poetry By Love & Cheesecake";"Desserts";"Kandivali West";"4.4 ";"34";"0";"Not Available"
"Havmor Havfunn Ice Cream";"Ice Cream, Ice Cream Cakes, Desserts, Beverages";"Malad Kan East";"4.6 ";"18";"0";"Not Available"
"NOTO - Ice Creams & Desserts";"Ice Cream";"Kandivali East";"4.6 ";"15";"Not Available";"799 "
"McDonald's Gourmet Burger Collection";"Burgers, Beverages, Cafe, Desserts";"Malad Kan East";"4.3 ";"26";"0";"Not Available"
"Grameen Kulfi";"Ice Cream, Desserts";"Kandivali East";"4.7 ";"16";"Not Available";"99 "
"Surbhi Sweets And Snacks";"Sweets, Chaat, Snacks, Desserts, Beverages, Indian";"Dahisar East";"4.2 ";"24";"Not Available";"599 "
"Jumboking Indian Burger";"American, Mexican, Fast Food, Snacks, Beverages";"Dahisar East";"4.5 ";"25";"Not Available";"449 "
"Theobroma";"Bakery, Desserts";"Borivali West";"4.5 ";"23";"Not Available";"999 "
"Amul Real Milk Real Ice Cream";"Ice Cream";"Borivali West";"4.3 ";"29";"Not Available";"749"
"Dabba Garam (Homestyle,Combo, Thali & More)";"Home Food, North Indian, Thai";"Borivali";"4.5 ";"35";"15";"45"
"KFC";"Burgers, Biryani, American, Snacks, Fast Food";"Kandivali East";"4.2 ";"30";"40";"80"
"McDonald's";"Burgers, Beverages, Cafe, Desserts";"Kandivali East";"4.5 ";"27";"30";"75"
"Bakingo-Cakes & Desserts";"Bakery, Desserts, Beverages, Snacks";"Kandivali West";"4.4 ";"33";"Not Available";"999"
"Domino's Pizza";"Pizzas, Italian, Pastas, Desserts";"Thakur Village";"4.3 ";"25";"Not Available";"299"
"NH1 Bowls - Highway To North";"North Indian, Punjabi, Home Food";"Kandivali East";"4.7 ";"11-21";"50";"100"
"63 By-Lane";"Pizzas, Pastas, Salads";"Malad Kan East";"4.3 ";"36";"Not Available";"699"
"Nishi Home Delites";"Indian, Punjabi";"Kandivali East";"4.6 ";"27";"Not Available";"0"
"Rasobongo";"Bengali, Sweets, Desserts, Snacks";"Kandivali East";"4.4 ";"13";"10";"40"
"Central Prabhu";"Mughlai, North Indian, Chinese, Konkan, Malwani";"Borivali East";"4.4 ";"35";"Not Available";"299"
"Peetuk";"Biryani, Bengali";"Kandivali East";"4.2 ";"22";"Not Available";"249"
"The Joy Pizzateria";"Pizzas, Beverages";"Kandivali East";"4.1 ";"24";"60";"120"
"Theobroma";"Bakery, Desserts";"Kandivali East";"4.5 ";"15";"Not Available";"999"
"Third Wave Coffee";"Cafe, Beverages, Desserts";"Malad Kan East";"4.3 ";"18";"20";"50"
"Big Bowl";"North Indian, Chinese, Tibetan, Desserts";"Kandivali East";"4 ";"24";"Not Available";"169"
"Shree mithai";"Indian";"Borivali";"4.7 ";"24";"0";"Not Available"
"Breadkraft";"Pizzas";"Mumbai";"4.3 ";"21";"30";"75"
"The Bengal Club";"Bengali";"Malad Kan East";"4.1 ";"18";"Not Available";"249"
"Shawarmaji";"Lebanese";"Thakur village Kandivali east";"4.4 ";"16";"Not Available";"0"
"Charcoal Eats - Biryani & Beyond";"Biryani, Kebabs, Hyderabadi, North Indian";"Malad Kan East";"4.3 ";"24";"50";"100"
"Good Flippin' Burgers";"American, Fast Food, Burgers";"Kandivali East";"4.6 ";"18";"20";"50"
"Achija";"North Indian, South Indian, Chinese, Beverages, Indian, Burgers, Chaat";"Kandivali East";"4.2 ";"22";"0";"Not Available"
"Granville Greens";"North Indian, South Indian, Chinese, Beverages, Italian, Mexican, Lebanese, Thai";"Borivali";"4.4 ";"36";"10";"500"
"New kathiyawadi dhaba";"Indian, South Indian, Punjabi, Rajasthani";"Borivali";"4.3 ";"34";"10";"700"
"Granville IDC Kitchen (Borivali)";"South Indian";"Borivali West";"4.5 ";"34";"0";"Not Available"
"Nirvana";"North Indian, Jain, Kebabs, Biryani, Chinese";"Malad Kan East";"4.4 ";"32";"0";"Not Available"
"Banglore Iyanger Bakery";"Bakery";"Malad Kan East";"4.5 ";"13";"10";"40"
"Sweet County Cake Shop";"Desserts, Bakery, Snacks";"Kandivali East";"4.6 ";"25";"0";"Not Available"
"The Netrik's Joint";"Fast Food, Pizzas, Snacks, Chinese, Beverages";"Malad Kan West";"4.1 ";"18";"30";"75"
"Sandwizzaa";"Snacks, Fast Food, Beverages, Jain";"Kandivali East";"4.6 ";"22";"60";"120"
"Gaurav Sweets And Namkeen";"Sweets, Snacks, Chaat";"Malad Kan East";"4.3 ";"20";"0";"Not Available"
"Raju's Kitchen";"Chinese, Indian";" SARAAF CHOUDHARY NAGAR";"4.2 ";"32";"10";"40"
"Bayleaf";"Indian, Snacks";"Kandivali East";"4.3 ";"32";"10";"1500"
"South Tiffin House";"South Indian, Fast Food, Snacks";"Malad Kan East";"4.4 ";"28";"30";"75"
"Brijwasi Sweets";"Sweets, Snacks";"Kandivali East";"4.3 ";"14";"10";"100"
"1441 Pizzeria";"Italian, Pizzas, Pastas";"Kandivali East";"3.8 ";"32";"60";"120"
"Dominic Pizza";"Fast Food, Pizzas, Chinese, Italian, Pastas, Desserts, Burgers, Mexican, American, Street Food";"Pizza Story";"Not Available";"33";"50";"100"
"abCoffee";"Cafe, Beverages, Bakery, Desserts";"Malad Kan East";"4.7 ";"15";"20";"50"
"K Bhagat Tarachand";"North Indian";"Malad Kan East";"3.8 ";"25";"0";"Not Available"
"Saffron Restaurant";"North Indian, Chinese, Beverages, Tandoor, Kebabs";"Kandivali East";"4.1 ";"31";"Not Available";"0"
"Flavours Of China";"Chinese";"Borivali East";"4.4 ";"33";"0";"Not Available"
"The Veg Treat";"North Indian, South Indian, Chinese";"Borivali West";"4.4 ";"33";"0";"Not Available"
"The House Of Pasta";"Pastas, Snacks";"Borivali";"4.4 ";"34";"Not Available";"999"
"Hangout Cakes & More";"Desserts, Bakery";"Borivali West";"4.4 ";"24";"60";"150"
"Radhe Dhokla";"North Indian, Gujarati, Punjabi, Fast Food, Chinese, Snacks";"Kandivali West";"4.3 ";"33";"Not Available";"449"
"Love & Cheesecake ";"Desserts";"Kandivali East";"4.5 ";"14";"0";"Not Available"
"Northern Tadka";"North Indian, Mughlai";"Kandivali East";"4.5 ";"31";"10";"40"
"The Ice Cream Bakery - TIB";"Ice Cream, Bakery, Desserts, Sweets, Beverages";"Kandivali East";"4.5 ";"25";"20";"50"
"Chai Sutta Bar";"Indian, Snacks";"Kandivali East";"4.4 ";"26";"10";"40"
"Sweet Bengal";"Sweets, Indian, Snacks, Desserts";"Kandivali East";"4.6 ";"13";"20";"50"
"Merwans Cake Stop";"Indian, Desserts";"Malad Kan East";"4.7 ";"13";"0";"Not Available"
"Nothing But Chicken";"Salads, Biryani, Kebabs, Fast Food, Healthy Food";"Kandivali East";"4.5 ";"22";"20";"50"
"MOJO Pizza - 2X Toppings";"Pizzas, Italian, Fast Food, Desserts";"Kandivali East";"4.3 ";"16-26";"50";"100"
"WeFit-Bowls, Salads & Sandwiches";"Healthy Food, Salads, Keto, Snacks";"Vishnu Shivam Mall";"4.5 ";"17-27";"50";"100"
"Blue Tokai Coffee Roasters";"Healthy Food, Pastas, American, Cafe, Beverages, Bakery";"Malad Kan West";"4.5 ";"19";"20";"50"
"Daily Kitchen - Homestyle Meals";"Home Food, Indian, North Indian, Thalis";"Thakur Village, Kandivali (E)";"4.3 ";"10-20";"50";"100"
"ZAZA Mughal Biryani";"Biryani, North Indian, Awadhi";"Kandivali";"4.2 ";"11-21";"50";"100"
"Dessertino";"Desserts";"Borivali";"4.1 ";"29";"0";"Not Available"
"Cafe Delight";"Indian, Tandoor";"Borivali East";"4.4 ";"29";"0";"Not Available"
"Atta Girl";"South Indian";"Malad West";"4.7 ";"27";"0";"Not Available"
"La Pino'z Pizza";"Pizzas, Pastas, Italian, Desserts, Beverages";"Thakur Complex";"4.2 ";"25";"50";"100"
"Murlidhar Sweets And Farsan";"Sweets, Street Food, Bengali, Gujarati, Desserts, Fast Food";"Borivali West";"4.7 ";"30";"0";"Not Available"
"Starbucks Coffee";"Beverages, Cafe, Snacks, Desserts, Bakery, Ice Cream";"Malad Kan East";"4.4 ";"17";"10";"900"
"NIC Ice Creams";"Ice Cream, Desserts";"Kandivali East";"4.7 ";"17";"Not Available";"149"
"Borivali Biryani Centre (BBC)";"Biryani, Chinese, North Indian, Punjabi, Kebabs, Afghani";"Borivali West";"4.5 ";"26";"0";"Not Available"
"Meemee's";"Ice Cream, Desserts";"Borivali";"4.5 ";"26";"50";"100"
"Uncle's Chinese";"Chinese, Fast Food, Biryani, North Indian, Beverages";"Kandivali";"3.6 ";"36";"0";"Not Available"
"Bangalore Iyengar Bakery";"Bakery, Desserts";"Borivali";"4.3 ";"29";"0";"Not Available"
"Kunafa World";"Middle Eastern, Desserts";"Malad Kan West";"4.2 ";"36";"0";"Not Available"
"Poetry By Love & Cheesecake";"Desserts";"Kandivali West";"4.4 ";"34";"0";"Not Available"
"The Cake Factory";"Desserts";"Kandivali East";"4.2 ";"22";"60";"120"
"Kusum Rolls";"Indian, Fast Food, Lebanese, Arabian, Kebabs";"Kandivali East";"3.5 ";"32";"0";"Not Available"
"Patanwala";"Sweets, Desserts";"Malad Kan East";"4.8 ";"15";"0";"Not Available"
"Monginis";"Bakery, Desserts, Snacks";"Kandivali East";"4.2 ";"14";"20";"50"
"GetAWay-Ice Creams & Desserts";"Ice Cream, Desserts, Healthy Food, Sweets";"Kandivali";"4.7 ";"24";"Not Available";"599"
"Mealful Rolls - India's Biggest Rolls";"Fast Food, Snacks, North Indian, Desserts";"Kandivali East";"4.4 ";"18-28";"50";"100"
"The Momo Co.";"Chinese, Asian, Tibetan, Desserts";"Kandivali East";"4.1 ";"20";"50";"100"
"Faasos' Signature Wraps & Rolls";"Fast Food, Snacks, North Indian, Desserts, Beverages";"Kandivali East";"4 ";"25";"50";"100"
"Havmor Havfunn Ice Cream";"Ice Cream, Ice Cream Cakes, Desserts, Beverages";"Malad Kan East";"4.6 ";"18";"0";"Not Available"
"Grameen Kulfi";"Ice Cream, Desserts";"Kandivali East";"4.7 ";"16";"Not Available";"99"
"Kareem's";"North Indian, Biryani, Chinese, Indian, Desserts, Mughlai, Tandoor, Lucknowi";"Kandivali East";"4.1 ";"32";"50";"100"
"McDonald's Gourmet Burger Collection";"Burgers, Beverages, Cafe, Desserts";"Malad Kan East";"4.3 ";"26";"0";"Not Available"
"Suchali's Artisan Bakehouse";"Beverages, Bakery";"Malad Kan East";"4.6 ";"18";"20";"50"
"LeanCrust Pizza- ThinCrust Experts";"Pizzas, Italian, Desserts";"Kandivali East";"4.4 ";"17-27";"50";"100"
"Pure Veg Meals by Lunchbox";"Biryani, North Indian, Desserts, Beverages";"Kandivali East";"4.2 ";"24";"40";"80"
"The J";"American, Snacks, Desserts";"Malad Kan East";"4.5 ";"18";"0";"Not Available"
"Smokin' Joe's";"Italian, Pizzas";"Kandivali East";"3.9 ";"34";"20";"50"
"BOOM Sandwich - Sub of India";"Snacks, Indian, Desserts";"Kandivali East";"4.3 ";"13-23";"50";"100"
"7th Heaven";"Bakery, Desserts";"Malad Kan East";"3.8 ";"16";"50";"100"
"Itminaan Matka Biryani - Slow Cooked";"Biryani, North Indian, Mughlai";"Kandivali East";"4 ";"22-32";"60";"120"
"NOTO - Ice Creams & Desserts";"Ice Cream";"Kandivali East";"4.6 ";"15";"Not Available";"799"
"Moussestruck";"Ice Cream, Desserts, Sweets";"Kandivali West";"4.7 ";"25";"Not Available";"499"
"Surbhi Sweets And Snacks";"Sweets, Chaat, Snacks, Desserts, Beverages, Indian";"Dahisar East";"4.2 ";"24";"Not Available";"599"
"Tiffin Box";"Biryani, Beverages, North Eastern";"Malad Kan East";"Not Available";"27";"30";"75"
"Waffle Cart";"Desserts, Snacks, Thalis";"Borivali";"3.8 ";"30";"0";"Not Available"
"Madno - House of Sundaes";"Ice Cream, Beverages";"Thakur Village";"4.1 ";"26";"40";"80"
"Gourmet Ice Cream Cakes by Baskin Robbins";"Ice Cream Cakes, Desserts, Ice Cream, Bakery";"Malad Kan East";"4.3 ";"20";"20";"50"
"Jumboking Indian Burger";"American, Mexican, Fast Food, Snacks, Beverages";"Dahisar East";"4.5 ";"25";"Not Available";"449"
"Khana Khazana";"Indian, Chinese";"Borivali";"4.6 ";"32";"0";"Not Available"
"Tea Post";"Beverages";"Borivali West";"4.1 ";"36";"Not Available";"449"
"Pizza Hut";"Pizzas";"Kandivali East";"4.2 ";"28";"Not Available";"179"
"Momo Mia";"Chinese, Desserts, Pizzas, Burgers, Pastas, Italian";"Dheeraj Regancy";"2.3 ";"26";"50";"100"
"Hola Pasta - Fresh Gourmet Pasta";"Pastas, Italian, Desserts, Beverages";"Kandivali East";"3.4 ";"16-26";"Not Available";"149"
"Libon The Cake Expert";"Desserts";"Borivali";"4.2 ";"28";"Not Available";"449"
"New York Burrito Company";"Mexican, American, Continental, Snacks, Beverages, Desserts";"Kandivali West";"4.2 ";"32";"0";"Not Available"
"The Fresh Press";"Beverages, Juices";"Malad Kan East";"4.2 ";"39";"60";"120"
"Dairy Don";"Beverages, Desserts";"Borivali";"3.9 ";"26";"10";"600"
"McCafe by McDonald's";"American, Beverages, Desserts";"Kandivali East";"3 ";"30";"0";"Not Available"
"Bhagwati Pav Bhaji";"Street Food, Chinese, South Indian, North Indian";"Kandivali West";"4.1 ";"36";"Not Available";"499"
"Goragandhi Juice Corner & Veg World";"North Indian, South Indian, Chinese, Indian, Chaat, Fast Food, Maharashtrian, Pizzas, Juices, Mexican, Pastas";"Borivali West";"4.6 ";"34";"0";"Not Available"
"The Waffle Co.";"Desserts, Waffle";"Kandivali West";"4.4 ";"34";"0";"Not Available"
"99 Pancakes";"Desserts, Beverages";"Kandivali West";"4.6 ";"32";"Not Available";"449"
"IDC Kitchen";"South Indian";"Malad Kan East";"4.3 ";"36";"Not Available";"999"
"Burger Hub";"Burgers, Snacks, Chinese";"Borivali";"Not Available";"34";"0";"Not Available"
"Delights by INOX";"Snacks";"Kandivali East";"4.6 ";"18";"60";"120"
