"hotel_name";"food";"location";"rating";"delivery_time";"offer_percentage";"offer_upto"
"McDonald's";"Burgers";"Kandivali East";4.5;27;"30";"75 "
"McDonald's";"Beverages";"Kandivali East";4.5;27;"30";"75 "
"McDonald's";"Cafe";"Kandivali East";4.5;27;"30";"75 "
"McDonald's";"Desserts";"Kandivali East";4.5;27;"30";"75 "
"KFC";"Burgers";"Kandivali East";4.2;30;"40";"80 "
"KFC";"Biryani";"Kandivali East";4.2;30;"40";"80 "
"KFC";"American";"Kandivali East";4.2;30;"40";"80 "
"KFC";"Snacks";"Kandivali East";4.2;30;"40";"80 "
"KFC";"Fast Food";"Kandivali East";4.2;30;"40";"80 "
"Domino's Pizza";"Pizzas";"Kandivali East";4.3;25;"Not Available";"299 "
"Domino's Pizza";"Italian";"Kandivali East";4.3;25;"Not Available";"299 "
"Domino's Pizza";"Pastas";"Kandivali East";4.3;25;"Not Available";"299 "
"Domino's Pizza";"Desserts";"Kandivali East";4.3;25;"Not Available";"299 "
"Charcoal Eats - Biryani & Beyond";"Biryani";"Kandivali East";4.3;24;"50";"100 "
"Charcoal Eats - Biryani & Beyond";"Kebabs";"Kandivali East";4.3;24;"50";"100 "
"Charcoal Eats - Biryani & Beyond";"Hyderabadi";"Kandivali East";4.3;24;"50";"100 "
"Charcoal Eats - Biryani & Beyond";"North Indian";"Kandivali East";4.3;24;"50";"100 "
"Sandwizzaa";"Snacks";"Kandivali East";4.6;22;"60";"120 "
"Sandwizzaa";"Fast Food";"Kandivali East";4.6;22;"60";"120 "
"Sandwizzaa";"Beverages";"Kandivali East";4.6;22;"60";"120 "
"Sandwizzaa";"Jain";"Kandivali East";4.6;22;"60";"120 "
"1441 Pizzeria";"Italian";"Kandivali East";3.8;32;"60";"120 "
"1441 Pizzeria";"Pizzas";"Kandivali East";3.8;32;"60";"120 "
"1441 Pizzeria";"Pastas";"Kandivali East";3.8;32;"60";"120 "
"Hangout Cakes & More";"Desserts";"Kandivali East";4.4;24;"60";"150 "
"Hangout Cakes & More";"Bakery";"Kandivali East";4.4;24;"60";"150 "
"Love & Cheesecake ";"Desserts";"Kandivali East";4.5;14;"0";"Not Available"
"Nothing But Chicken";"Salads";"Kandivali East";4.5;22;"20";"50 "
"Nothing But Chicken";"Biryani";"Kandivali East";4.5;22;"20";"50 "
"Nothing But Chicken";"Kebabs";"Kandivali East";4.5;22;"20";"50 "
"Nothing But Chicken";"Fast Food";"Kandivali East";4.5;22;"20";"50 "
"Nothing But Chicken";"Healthy Food";"Kandivali East";4.5;22;"20";"50 "
"Sweet Bengal";"Sweets";"Kandivali East";4.6;13;"20";"50 "
"Sweet Bengal";"Indian";"Kandivali East";4.6;13;"20";"50 "
"Sweet Bengal";"Snacks";"Kandivali East";4.6;13;"20";"50 "
"Sweet Bengal";"Desserts";"Kandivali East";4.6;13;"20";"50 "
"Atta Girl";"South Indian";"Kandivali East";4.7;27;"0";"Not Available"
"NIC Ice Creams";"Ice Cream";"Kandivali East";4.7;17;"Not Available";"149 "
